hint1;Подсказка 1: Если текст начинается с "-", значит, главный герой говорит вслух.
44;Произошёл огромный взрыв, который не оставил и атома даже от летающей тарелки.
45;Это привело к появлению зоны отчуждения.
46;Нажать красную кнопку
47;Летающая тарелка взорвалась. Судя по всему, это была кнопка самоуничтожения.
48;Нажать зелёную кнопку
49;Канистра опустошилась. В иллюминатор видно, что тарелка остановилась между Землёй и Луной.
50;Без скафандра Вам нечем дышать. Кнопки заблокированы.
51;Вы ощутили небольшую встряску.
52;"Это что, вместо массажных кресел? Бесполезная вещь."
53;Вы плюнули на зелёную кнопку. А затем решили напоследок осмотреть аппарат.
54;В канистре исчезло много жидкости. Осталось процентов двадцать-тридцать.
55;Выйдя из тарелки, Вы оказались в каком-то крупном городе.
56;Практически каждое здание имело свой архитектурный стиль.
57;Вы заметили, что рядом с Вами красовалась надпись "Парковка", сделанная на множестве языков.
58;На улицах было пусто.
59;Внезапно у Вас в голове раздался голос.
60;Голос: Добро пожаловать!
61;"Капец меня штырит. А мы точно алкоголь принимали вчера?"
62;Голос: Вас не штырит. Вы оказались в городе на Луне.
63;"Я слышал, что если поддаться глюкам, то они быстрей пройдут."
64;- Где тут туалет?
65;Голос: У каждого жителя есть свой дом. В нём и туалет имеется.
66;"Тю, тоже мне, инопланетяне. А вот у нас в деревне всё вокруг - туалет!"
67;Голос: Никто не мешает Вам сделать так в доме.
68;- А на Луне нужно платить налоги?
69;Голос: Нет.
70;"Действительно Рай."
71;- А где инопланетяне? Зря добирался, что ли?
72;Голос: Ввиду высокого развития инопланетной жизни жители обычно не покидают свои дома.
73;"А, я понял. У меня сосед такой. Ещё постоянно кричит, что его какие-то раки достали."
74;Промолчать
75;Голос: Откровенно говоря, Вы не должны находиться здесь.
76;"Как и ты в моей бошке! Брысь!"
77;Голос: Летающая тарелка действительно была пустой?
78;"Нет, там была канистра. И кнопочки."
79;Голос: Очень странно. Тогда нужно разобраться, что произошло. Ваш номер готов.
80;Голос: И Вам запрещено покидать его без разрешения. И да, в канистре - топливо!
81;С этими словами Вы оказались в комнате, похожей на спальню.
82;"Э, мы не договорили! Какой номер? На Луне другая симка нужна?"
83;В комнате из ниоткуда возникло существо.
84;Глазами и лицом оно напоминало Серых из фантастики, но было полностью белым.
85;А ещё это качок ростом метра три.
86;"О, а вот и первый парень на районе. И бежать некуда."
87;Качок: Добро пожаловать в город наш! Зовут меня Кх'арг. Я кратко тебя в курс дела введу.
88;Качок говорил так быстро, что Вы не успевали слово вставить.
89;Кх'арг: Летающую тарелку найти не должен был ты.
90;Кх'арг: Мы уже разбираемся в ситуации и отряд послали на Землю.
91;Кх'арг: Как только прояснится всё, обратно отправят тебя.
92;Кх'арг: Мы изучили уже воспоминания твои. Судя по всему, произошло с пилотами что-то.
93;Кх'арг: В комнате твоей заблокировано многое, так как не житель города ты.
94;Кх'арг: Но не запрещается привычными тебе предметами пользоваться.
95;Качок исчез так же неожиданно, как появился.
96;"В курс дела он введёт. Я так ничего и не понял!"
97;"Как будто в универ вернулся. Вроде, что-то объясняют, но легче не становится."
98;Внезапно Вы вновь очутились в другом месте. Впрочем, ничего нового.
99;Помещение напоминало столовую. Перед Вами сидели незнакомые персонажи.
100;Первый выглядел как человек с металлической головой.
101;Второй - огроменный двуглавый фиолетовый котик с шипастым хвостом.
102;Третий выглядел как обычный мужчина-брюнет ростом примерно метр двадцать.
103;- Где я опять? И кто Вы? Я невкусный!
104;Котик: Ты в штабе сопротивления. Тебе сейчас тяжело, но я постараюсь прояснить ситуацию.
105;- Говорящая киса!
106;Котик: (игнорируя Ваше замечание) Мы - стражи этого города. Но нам многое не нравится.
107;Котик: Во-первых, сюда попадают лишь существа, которые умрут через год или меньше.
108;Котик: Технологии инопланетян позволяют отслеживать даже такое по всей вселенной.
109;Котик: Таких существ похищают и создают для них поистине райские условия жизни.
110;Котик: Все твои желания будут исполняться. Вообще все. Технологии позволяют.
111;Котик: Но в день смерти жители куда-то пропадают. И больше не появляются.
112;Котик: Мы хотим выяснить, что происходит на самом деле.
113;Котик: И вот тут ты и пригодишься. Ты не должен был попасть в этот город.
114;Котик: Тебя нет в системе отслеживания. Ты не погибнешь в ближайший год.
115;Котик: К тому же, стражи, которые полетели на Землю на тарелке, пропали. Так ты сюда и попал.
116;Котик: Другого такого шанса не будет!
117;Котик: Пора знакомиться. Наши имена тебе вряд ли что скажут, поэтому достаточно прозвищ.
118;Котик: Я - Предводитель.
119;Предводитель: Это - (показывает на робота) Глазастик. Он - киборг. Его глаза видят невидимое.
120;Предводитель: А это - (показывает на брюнета) Гном.
121;Гном: Сам ты Гном! (Шёпотом) Хорошо хоть не дворф.
122;- Дворфы ж круче.
123;Гном открыл было рот, чтобы возразить, но Предводитель деликатно кашлянул каждой головой и продолжил.
124;Предводитель: А тебя как звать?
125;- Пусть будет Гость. С чего Вы вообще взяли, что я хочу Вам помогать?
126;Предводитель: А ты правда думаешь уйти отсюда живым? Помочь нам - единственный способ.
127;- Я весь внимание.
128;Предводитель: Сначала отправимся в хранилище знаний. Это что-то вроде библиотеки.
129;Предводитель: Наверняка там есть какой-то секретный уровень. Но сначала тебе нужно оружие, на всякий случай.
130;Предводитель: Держи бластер и щит-перчатку. Щит активируется нажатием кнопки на указательном пальце.
131;Вы вновь оказались в неизвестном месте. Оно действительно напоминало библиотеку.
132;Только помимо книг были ещё диски, какие-то кубики и разные устройства.
133;Предводитель: Хранилище очень высокое, поэтому я уверен, что нам нужно под землю.
134;Вы решили взять книгу с красивым золотым переплётом.
135;И снова оказались в неизвестном месте.
136;- Да сколько можно!
137;Место было маленькой пустой тёмной комнатой без окон и дверей.
138;Голос: Вы перенесены на исправительный этаж Хранилища. Брать экспонаты строго запрещено!
139;- Опять ты! И вообще, что это за библиотека, в которой ничего брать нельзя?
140;Ответа не последовало.
141;Сесть медитировать
142;Спустя много часов медитации Вы познали Дзен и переродились эльфом-принцем в другом мире.
143;Яростно плюнуть на пол
144;Из-за особенностей материала плевок отрикошетил с невероятной скоростью и пробил Вам череп.
145;Пнуть стену
146;Из-за особенностей материала удар вернулся Вам стократ и Вас разорвало на куски.
147;Позалипать в телефон
148;Яркость телефона была настроена на использование на улице в солнечный день.
149;В тёмном помещении Вы ослепли, а Ваше сердце не выдержало такого испытания.
150;Выстрелить в стену из бластера
151;Порезать палец и молиться Ктулху
152;Из ниоткуда появившиеся щупальца пробили одну из стен.
153;Потом Ктулху замотал лейкопластырем Вашу ранку на пальце и дал Вам печенек с чаем.
154;Ктулху: Ничего личного, просто ненавижу инопланетян.
155;Ктулху: Пойду есть сектантов, так что дальше без меня.
157;Луч от бластера отрикошетил и направился к Вам.: Подождать, что произойдёт
158;Луч испепелил Вас.
159;Уклониться
161;Луч продолжил рикошетить и Вам пришлось уклоняться дальше.: Продолжать уклоняться
162;Через какое-то время Вы устали.
163;Выстрелить в стену на опережение
164;Включить щит
166;Луч продолжил рикошетить, но Вы были в безопасности, так как щит окружил Ваше тело.: Ждать
167;Через какое-то время заряд щита закончился.
168;Принять крутую позу
170;Когда два лазера встречаются, происходит взрыв. Как в мультиках.
171;На одной из стен теперь зияла дыра.
172;Снаружи было относительно светло. Потолок мерцал красным.
173;По левому и правому краю были стены. Оставалось лишь идти вперёд.
174;Идти вперёд
175;Подождать экскурсовода
176;Через какое-то время прибыла стража и испелелила Вас из бластеров.
177;Пожаловаться маме
178;К сожалению, связь не ловит.
179;Загуглить маршрут до Земли
180;К сожалению, интернет не ловит.
181;Какое-то время Вы шли лишь вдоль стен.
182;Затем заметили впереди комнату, а там инопланетяне в нарды играют.
184;Судя по бластерам на прозрачном столе, это стража. И Вас заметили.: Попытаться уничтожить их
185;Стражники среагировали быстрее, чем Вы успели взять бластер.
186;Один из них нажал какую-то кнопку на столе и Вас расплющило ударом молота сверху.
187;Показать танец маленьких утят
188;Стражи безмолвно ожидали, когда Вы прекратите танцевать, после чего испепелили бластером.
189;Кинуть бластер в лицо стражнику
190;Стражник кинул свой в ответ, пробив Вам череп.
191;- Не подскажете, где выход?
192;- Я немного заблудился.
193;Стражники показали на проход за ними и продолжили игру.
194;Присоединиться
195;"А как играть в нарды?"
196;Вы подумали, что это похоже на "Чапаева", поэтому выстрелили фишкой.
197;Стражник не согласился и испепелил Вас бластером.
198;Отдать честь
199;- Разрешите доложить?
200;Стражники жестом показали Вам "Кыш-кыш" и Вы пошли дальше по коридору.
201;- Кукуруза, чурчхела, чебуреки
202;Стражники быстро потеряли к Вам интерес и продолжили игру.
203;Вы пошли дальше по коридору, продолжая повторять спасительную фразу.
204;- Можете идти, я Вас заменю
205;Стражники быстро собрали вещи и исчезли.
206;Вы немного подождали и пошли дальше по коридору.
207;- Потанцуем?
208;Стражники не оценили Вашего предложения и испепелили Вас бластером.
209;Спустя какое-то время блуждания по коридорам Вы наткнулись на комнату.
210;В ней было 4 штуковины, похожих на порталы из фантастики.
211;Оранжевый, зелёный, в горошек и треугольный.
212;За ними ничего не видно.
214;В какой портал пойти?: Оранжевый
215;Зелёный
216;В горошек
217;Треугольный
218;Вы оказались в другой комнате с большим количеством чанов с расплавленным металлом.
219;С противоположного конца помещения шёл конвейер, который недалеко от Вас поворачивал.
220;А затем постепенно поднимался наверх, прямиком к единственному здесь проходу.
221;Механические клешни периодически забирали предметы с конвейера и скидывали в чаны.
222;Зачерпнуть черпаком из чана и выпить
223;К Вашему удивлению, жидкость оказалась слишком горячей и невкусной.
224;Искупаться в чане
225;Вы любили ходить в баню, поэтому первое время было даже ничего.
226;Но потом неожиданно становилось всё горячей и горячей и Вы уже не успели вылезти.
227;Лечь на конвейер
228;Клешня взяла Вас за шкирку и опустила в чан.
229;Прыгнуть на клешню
230;Клешня сделала колебание назад и на обратном пути швырнула Вас в проход.
231;Бежать вверх по конвейеру
232;Вы благополучно добрались до прохода.
233;Механические руки распределяли предметы с конвейера по разным путям.
234;Вы же спокойно доехали до конца и оказались на небольшой площадке.
235;Перед Вами было что-то типа пульта управления.
237;Далеко внизу виднелся чёрный портал. Но как туда добраться?: Прыгнуть
238;Вы разбились насмерть.
239;Разбежавшись, прыгнуть прямо вниз
240;Вы действительно попали прямиком в портал! Хорошо, что он гасит скорость.
241;Прыгнуть бомбочкой
242;Ваши ошмётки разлетелись по всей площадке.
243;Активировать щит и прыгнуть
244;Вы успешно приземлились и зашли в портал.
245;Нажать стрелочку вверх
246;Из ниоткуда появилась механическая клешня, взяла Вас за шкирку и поставила перед порталом.
247;"Надо было взять с собой запасные штаны. Дошёл до портала, но какой ценой?"
248;Нажать стрелочку вниз
249;Площадка стала опускаться вниз, как лифт. Вы спокойно добрались до портала.
250;Вы оказались среди "моря" зелени. Только белого.
251;Над головой на жёлтом небе светило зелёное Солнце.
252;Слева было растение, похожее на подсолнух, но большое и постоянно меняющее цвет.
253;За цветком виднелась стена.	Справа тоже виднелась стена.
254;Впереди - фиолетовый ручеёк, по другую сторону которого виднелся чёрный портал. А за ним - стена.
255;Подойти к растению
256;Когда Вы подошли ближе, у подсолнуха появились сначала глаза...
257;Потом - полная острых зубов пасть.
258;Это было последнее, что Вы видели.
259;Выстрелить в растение из бластера
260;К Вашему удивлению, растение уклонилось.
261;Активировать щит и подойти к растению
262;Подойти к ручью
263;Сжечь растение бластером
264;Под растением Вы нашли какой-то проход.
265;Зайти в проход
266;Вы вышли прямо к чёрному порталу.
267;Уйти от греха подальше
268;Погладить цветок
269;У цветка показался здоровенный язык, которым он облизал Ваш щит.
270;Затем он стал тереться о Вас и издавать звуки, похожие на мурлыканье.
271;Когда он наигрался, из-под земли показалось что-то похожее на руку.
272;Оно пульнуло Вас прямиком в портал.
273;Съесть семечку
274;При взаимодействии со слюной семечка произвела сильный взрыв.
275;Съесть лепесток
276;"На вкус как жареная картошка."
277;Мир вокруг стал переливаться всеми возможными цветами.
278;Впереди Вы заметили танцующий глазастый дом, по крыше которого бегали единороги.
279;Вокруг дома гуляли трёхглавые розовые бородатые акулы.
280;Некоторые из них были верхом на огромных фиолетовых курицах.
281;В кармане Вы нащупали пирожок и решили съесть его.
282;Попить
283;Жидкость оказалась кислотой, быстро увеличивающейся в объёме при взаимодействии со слюной.
284;Зато Вы стали быстро уменьшаться в объёме.
285;Перейти ручей
286;Жидкость оказалась кислотой, быстро уменьшающей Вас, начиная с ног.
287;Вскоре от Вас не осталось и атома.
288;Активировать щит и перейти ручей
289;Вы перебрались на другую сторону и Вошли в портал.
290;Вы оказались сидящим за столом в маленькой комнатке и привязанным к стулу так, что не пошевелиться.
291;Перед Вами было механическое щупальце.
292;Голос в голове: Добро пожаловать в комнату для приёма пищи!
293;"Это что за пища такая, что человека связывать надо? И когда Вы успели это сделать?"
294;Голос: Это для Вашего же удобства. Щупальце кормит Вас с ложки, а Вы отдыхаете.
295;"А связывать зачем?"
296;Голос: Чтобы убедиться, что Вы покушаете. Стул за счёт подачи импульсов позволяет управлять ртом.
297;Перед глазами появилось меню.
299;"Какой бы суп выбрать?": Согревающий
300;Охлаждающий
301;Рыбный
302;Меняющий цвет
303;Ядовитый
304;Взрывной
305;Разбухающий
306;Роскошный
307;Бодрящий
308;Бесконечный
309;Голос: Обычно перед ним съедают особую таблетку, но раз Вы настаиваете.
310;Голос: Суп из магмы с камнями, приправленными пеплом.
311;"Слишком согревающий!"
312;Голос: Обычно его едят в сильную жару, но как Вам угодно.
313;Голос: Этот суп подаётся при температуре абсолютного нуля.
314;Голос: Суп с рыбками, обладающими прочной чешуёй и пожирающими Вас изнутри.
315;"Это я должен есть суп, а не он меня!"
316;Голос: Это любимое лакомство рас с прочными внутренностями.
317;Голос: Только так они могут почесаться изнутри.
318;Голос: Главное - не жевать рыбу, иначе зубы сломаете.
319;"Сломанные зубы - наименьшая из проблем!"
320;Голос: Суп с множеством спиритических трав.
321;Блюдо каждое мгновение меняло свой цвет.
322;"Это точно съедобно?"
323;Голос: Разумеется.
324;Блюдо оказалось необычным на вкус. Ведь вкус тоже менялся каждое мгновение!
325;Когда Вам полностью скормили суп, Вам стало казаться, что что-то не так.
326;Но вот что?
327;То, что мир вокруг стал пестрить всеми возможными цветами?
328;Или что механическое щупальце постоянно меняло форму?
329;Спагетти, косяк рыб, чья-то рука, гриб, не счесть и других форм.
330;Или то, что вместо стола Вы каждое мгновение видели разных существ?
331;Черепаха, кот, медведь, мотоцикл, множество других.
332;Голос: Носороги бегут по гусеницам задом наперёд.
333;"Чего, простите?"
334;Голос: Кошачьи подсолнухи курят фрикадельки после дождя вулканов во вторник.
335;"А велосипедная пицца бегает или отжимается по средам после завтрака?"
336;Голос: На самом деле, поливает лимонадом ростки автомобилей.
337;Мир понемногу стал возвращаться в своё обычное состояние.
338;"Хороший суп и побочки интересные."
339;Голос: Любимое лакомство для рас с иммунитетом к яду.
340;Голос: Многим интересно есть то, что может убить. Даже у Вас, людей, к примеру, есть рыба фугу.
341;Суп содержал несколько ядов.
342;Парализующий. Вызывающий то жар, то озноб. Вызывающий слабость.
343;Вызывающий галлюцинации. Вызывающий судороги.
344;"Хвала Одину, что повар забыл положить смертельный яд. Или так и задумано?"
345;Голос: Главный ингредиент - "гранатные" фрикадельки, имитирующие взрывы внутри организма.
346;Голос: Они периодически издают характерный звук и стреляют сжатым воздухом.
347;Голос: За счёт этого Вам кажется, что Вы взрываетесь изнутри.
348;Суп оказался довольно вкусным.
349;Но вот захотели бы Вы повторить эти ощущения?
350;Голос: Внутри организма суп начинает увеличиваться в размерах.
351;Голос: Идеальный вариант для походов и армии.
352;К сожалению, суп слишком быстро увеличивался в размерах.
353;Голос: Мало кто выживал после этого супа. Он слишком вкусный!
354;Вы успели съесть лишь одну ложку и Ваше сердце остановилось.
355;Голос: Идеальный завтрак, если Вы ещё не до конца проснулись.
356;Голос: Главный ингредиент - электрические водоросли.
357;Голос: При каждом укусе Вас будет бить током.
358;Ток оказался несмертельным, поэтому с трудом, но суп был побеждён.
359;Вы никогда не забудете этот вкус!
360;К Вашему удивлению, размер порции был обычным. Вкус неплох.
361;"А почему бесконечный?"
362;Спустя какое-то время щупальце остановилось.
363;"В чём дело? Я хочу ещё!"
364;Голос: Вы уже наелись.
365;Вы заметили, что количество супа в тарелке не изменилось.
366;"Ну хотя бы ещё чуть-чуть! Ну пожалуйста!"
367;Ещё какое-то время щупальце кормило Вас, но затем Вы почувствовали, что больше не прикованы.
368;И жадно набросились на суп. Несмотря на то, что Вы уже объелись, Вам хотелось ещё и ещё.
369;"Как только он влезает?"
370;А в тарелке так ничего и не менялось.
371;Вы почувствовали, что больше не привязаны к стулу.
372;Впереди появился чёрный портал, к которому Вы без долгих раздумий и направились.
373;Вы оказались перед пирамидой, похожей на египетскую, но гладкую, без блоков.
374;Перед входом красовалась табличка с надписью "Портал внутри" на множестве языков.
375;Зайти в пирамиду
376;Пойти в обратную сторону
377;Пустыня не хотела заканчиваться. В отличие от Ваших сил.
378;Вам казалось, что песок и палящее солнце будут сниться в комшарах и на том свете.
379;Зато Вы накормили несколько гиен.
380;Залезть на пирамиду
381;"Кто знает, вдруг портал на самом верху?"
382;Спустя несколько часов неудачных попыток Вы упали без сил.
383;Обойти пирамиду
384;"Портал же наверняка в самом конце пирамиды".
385;Оказавшись на противоположной стороне, вы проплавили дыру в стене бластером и вошли внутрь.
386;Ваша догадка оказалась верна - здесь был портал!
387;Сделать подкоп
388;Вы успешно проложили путь с помощью бластера, сделав затем дыру в пирамиде.
389;И оказались в комнате с порталом! Не желая испытывать удачу ещё больше, Вы вошли в него.
390;Спустя некоторое время ходьбы по коридору Вы наткнулись на комнату.
391;Она была заполнена огромными паучьими яйцами. В конце виднелся проход дальше.
392;Но рядом с ним был огромнейший паук. Вероятно, он спал, раз не заметил Вас.
393;Приготовить яичницу
394;Паук не оценил Ваши кулинарные навыки и решил продемонстрировать свои.
395;Для начала он плюнул в Вас кислотой и дал хорошенько настояться.
396;Потом раскусил на несколько кусочков, посолил, поперчил и украсил блюдо паутиной.
397;Выложил фоточку в интернет и только потом съел.
398;Бежать вприпрыжку, насвистывая
399;Паук проснулся и долго провожал Вас взглядом, но затем не выдержал и спросил
400;Паук: Ты правда такой тупой?
401;Идти крадучись
402;Вы успешно дошли до проёма и показали пауку язык.
403;Пнуть паука
404;Паук проснулся и долго не мог поверить в Вашу наглость.
405;Выстрелить в паука
406;Пнуть любое яйцо
407;Пинок вызвал цепную реакцию, из-за которой все паучки вылупились.
408;Паук проснулся и завернул Вас в кокон, а потом скормил паучкам.
409;Следующей комнатой после блужданий по коридорам оказался бар.
410;Бармен-мумия стоял к Вам спиной и готовил напитки.
411;За стойкой сидели крокодил, здоровенный скарабей и инопланетянин.
412;В конце комнаты виднелся проход дальше.
413;Прокрасться мимо
414;Вы достигли цели без проблем.
415;- Есть что бесплатное?
416;Бармен: К сожалению, нет.
417;- Я тогда пошёл?
418;Бармен: Да. А ты думал, тебя Крокодил съест?
419;Промолчать и отвести глаза
420;- Нет, что Вы.
421;- По нему же видно, что он воспитанный и умный.
422;Крокодил покраснел и смущённо откусил Вам голову.
423;- Это ведь бар крутых чуваков?
424;Инопланетянин: Ну да.
425;- Тогда что Вы тут забыли?
426;- Значит, я по адресу.
427;- Эй, бармен!
428;Вся компашка обернулась на Вас.
429;- Спорим, я тя размотаю?
430;Бармен: Неужели человек с чувством юмора?
431;Бармен: Держи, за счёт заведения.
432;Он поставил стакан с зеленоватой жижей.
433;- А что это?
434;Бармен: Урановая водка. Это бомба, братан, попробуй.
435;Крокодил: Да, твоя жизнь уже не будет прежней.
436;Выпить
437;- Урановая? Нет, спасибо.
438;Бармен: Эх, обижаешь. Ну хотя бы глоточек, а?
439;- Ладно, уговорил.
440;- Нет - значит нет!
441;Бармен: Мне больше достанется.
442;Мумия выпила жидкость залпом, после чего её передёрнуло.
443;Бармен: Ух, хорошо! Иди куда шёл.
444;Вместо бара перед Вашими глазами разгорелась битва инопланетян. Они стреляли друг в друга из цветков.
445;После попадания появлялся фейерверк, каждая искра которого затем взрывалась.
446;Каждую секунду менялось место сражения, оружие, окружение и цвета.
447;Были и коты верхом на ракетах, и деревья с грибами вместо листьев.
448;Крокодил: Ну говорил же я тебе, нельзя новичкам так много! Он же не слышит ничего.
449;Скарабей: Зато точно наш человек! Смотри, как плющит.
450;Инопланетянин: Надо было хотя бы цезиевое вино дать для начала.
451;Мумия: Давайте его к порталу отнесём, чтоб он ещё больше офигел.
452;Инопланетянин: Ха, отличная идея.
453;После того, как Вас отпустило, какое-то время Вы ещё видели всё в зелёном цвете.
454;"Портал! Но я же был в баре..."
455;"О нет! А впрочем..."
456;Прошла, казалось, вечность, прежде чем Вы наконец нашли комнату с порталом.
457;Вы оказались в небольшой комнате, чем-то напоминающей хранилище знаний.
458;В противоположной от входа стороне красовался знакомый чёрный портал.
459;"Тут явно что-то скрыто, раз так просто сюда не попасть. Нужно всё перерыть."
460;"В этот раз тоже телепортирует, когда книгу возьму?"
461;Зажмурив глаза, Вы с опаской взяли первую попавшуюся книгу.
462;Открыв глаза, Вы не заметили изменений вокруг себя.
463;Спустя часы поисков Вы ничего не нашли. Кроме одного куба данных.
464;Проект "Счастье".
465;С развитием технологий люди, по идее, должны быть всё счастливей и счастливей.
466;Но мало где так происходит.
467;Счастливых жителей очень мало. Особенно если рассматривать всю жизнь, а не какое-то мгновение.
468;А ведь чем счастливей житель, тем с меньшей вероятностью он пойдёт на преступление.
469;Если здоров, конечно.
470;Цель проекта - попытка сделать жителей счастливыми.
471;Каждый день, а не одноразово.
472;В качестве "подопытных" брать существ, которым осталось жить лишь год.
473;И доставлять их в тестовый комплекс, в одном из которых сейчас находится читатель.
474;Если исполнять все желания жителей, создавать для них все условия, будут ли они счастливы?
475;Или же привыкнут и станут воспринимать это как новую данность?
476;А может, всё это вообще не влияет на уровень счастья?
477;Если проект увенчается успехом, можно изменить к лучшему жизнь всех разумных существ.
478;Ведь отработанные в комплексах методы можно будет внедрить уже в настоящие города.
479;"Эх, дата не стоит. Пожалуй, стоит захватить это кубик с собой".
480;Вы направились к порталу.
481;В хранилище Вас ждала компашка.
482;Предводитель: Ну наконец-то! Где тебя носило?
483;- Я из тюрьмы сбежал, между прочим! Книги ведь нельзя трогать.
484;Предводитель: Ах да, мы же пропуск тебе не оформили. Неловко получилось.
485;- Уже не важно, я кое-что нарыл. А у вас как?
486;Предводитель в ответ только развёл лапками.
487;Вы вновь оказались в помещении, похожем на столовую, с которой всё и началось.
488;Предводитель: Думаю, в том кубе данных действительно зацепка.
489;Предводитель: Ведь это странно - делать такой упор именно на счастье.
490;Предводитель: Не на исцеление болезней, не на увеличение продолжительности жизни.
491;Предводитель: Не на уменьшение расслоения общества. Можно много всего перечислять.
492;Предводитель: Теперь нам нужно выяснить, куда пропадают жители.
493;Гость: Может, их телепортируют обратно?
494;Предводитель: Какой смысл? Они ведь пропадают именно в день смерти.
495;Гость: Но как человек может погибнуть, если здесь для него создаются все условия?
496;Гном: Я что-то слышал о том, что это Судьба. Не важно, где житель и в каком состоянии.
497;Гном: Даже если он здоров и сидит дома. В день смерти ему суждено погибнуть.
498;Гном: У него может остановиться сердце. Может быть кровоизлияние в мозг.
499;Гном: Нож может выскользнуть и порезать вену. Вариантов много, особенно вне дома.
500;Гость: Но вы ведь говорите, что жители именно пропадают, а не умирают. Их куда-то уводят? Зачем?
501;Предводитель: Это-то мы и хотим узнать. Нам нужно попасть туда, где хранятся данные о жителях.
502;Предводитель: Так мы сможем узнать, кто умрёт в ближайшее время.
503;Предводитель: А затем проследим, куда такие пропадают. Но есть одна проблема.
504;Предводитель: У нас нет допуска в это здание.
505;Предводитель: А до похода в хранилище мы понятия не имели, где хранится информация.
506;- Разве нет чёрного хода?
507;Глазастик: Есть, но в записях было лишь упоминание о нём.
508;Предводитель: План такой - я слишком большой и заметный, поэтому остаюсь здесь.
509;Предводитель: А Вы все идёте на задание. Глазастик узнает, где чёрный ход, дальше разберётесь.
510;Предводитель: К тому же, у меня есть дела поважнее - мне нужно вылизаться.
511;Глазастик: Цель в Системе Распределения Жителей.
512;- Погодите, разве там нет камер и систем защиты? Мы просто так пойдём?
513;Предводитель: Охранные системы могут быть, а снаружи камер точно нет.
514;Предводитель: Жители ведь сидят по домам, какой смысл?
515;Спустя несколько десятков минут хождения вокруг да около здания Глазастик остановился.
516;Глазастик: Нашёл проход, но его надо активировать. Кнопки невидимы.
517;Глазастик какое-то время сновал туда-сюда, делая пассы руками, после чего проход в стене открылся.
518;Вы оказались в помещении, похожем на рабочий кабинет.
519;- Глазастик, какие-то проходы видишь?
520;Глазастик: Пока нет. Видимо, нужно что-то сделать, чтобы пройти дальше.
521;- Почему кабинет такой, э, человеческий? Где технологии будущего?
522;Глазастик: Почём мне знать?
523;Гном: Может, для людей и сделан.
524;Нажать колпачок ручки
525;Раздался мощный взрыв.
526;Просмотреть записи
527;Спустя полчаса Вы добрались до последнего листочка.
528;На нём было совсем мало текста - "Кто прочитал, тот сдохнет".
529;"Я тут время трачу, а они мемы вставляют!"
530;Внезапно у Вас остановилось сердце.
531;Включить телевизор
532;Сесть на кресло
533;Механизм резко поднял кресло до потолка и Вас расплющило.
534;Включить компьютер
535;Компьютер так громко загудел, что звуковая волна разорвала вам внутренние органы.
536;Открыть шкаф
537;В шкафу сидел скелет.
538;Скелет: Это покушение на частную собственность! Вы не имеете права!
539;И испепелил Вас бластером.
540;Вас начало засасывать в телевизор. Через секунду вы были уже в другом месте.
541;Глазастик: Нас что, телепортировало?
542;- Ты привыкнешь к этому.
543;Вы оказались в небольшой комнате. Впереди виднелся большой вентилятор, который загораживал проход.
544;Гном: Мне отключить его?
545;Глазастик: Давай оставим этот вариант напоследок.
